time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,7.329,7.329,6.91,6.91,1210,8361.1,,,,,
2013-01-03,7.12,7.12,6.982,6.982,110,768.02,,,,,
2013-01-04,7.192,7.192,6.982,7.192,6710,48258.32,,,,,
2013-01-07,7.192,7.261,7.192,7.192,50020,359743.84,,,,,
2013-01-08,7.4,7.4,7.192,7.329,1330,9747.57,,,,,
2013-01-09,7.54,7.54,7.329,7.329,10470,76734.62999999999,,,,,
2013-01-10,6.982,7.329,6.982,7.329,630,4617.27,,,,,
2013-01-11,7.329,7.329,7.329,7.329,1070,7842.03,,,,,
2013-01-14,7.192,7.192,7.192,7.192,2010,14455.92,,,,,
2013-01-15,7.261,7.261,7.192,7.192,12000,86304.0,,,,,
2013-01-16,7.329,7.678,7.192,7.678,42490,326238.22,,,,,
2013-01-17,8.168,8.168,8.168,8.168,40900,334071.19999999995,,,,,
2013-01-18,8.377,8.377,8.168,8.377,22300,186807.1,,,,,
2013-01-21,8.377,8.377,7.959,8.098,25210,204150.58,,,,,
2013-01-22,8.238,8.238,8.029,8.029,8620,69209.98,,,,,
2013-01-23,8.238,8.377,8.168,8.168,12770,104305.36,,,,,
2013-01-24,8.377,8.377,8.098,8.308,48380,401941.04,,,,,
2013-01-25,8.149,8.708,8.149,8.547,9770,83504.19,,,,,
2013-01-28,8.387,8.788,8.228,8.626,15930,137412.18,,,,,
2013-01-29,8.626,8.946,8.626,8.867,21440,190108.48,,,,,
2013-01-30,8.946,9.026,8.867,9.026,13890,125371.14,,,,,
2013-01-31,9.026,9.106,8.867,9.026,15600,140805.6,,,,,
2013-02-01,9.186,9.586,8.547,8.547,27350,233760.45,,,,,
2013-02-04,8.467,8.946,8.467,8.946,2340,20933.64,,,,,
2013-02-05,8.387,9.026,8.387,9.026,20,180.52,,,,,
2013-02-06,8.867,9.186,8.788,9.186,11660,107108.76,,,,,
2013-02-07,9.186,9.426,9.186,9.346,8500,79441.0,,,,,
2013-02-08,9.505,9.586,9.505,9.586,2510,24060.86,,,,,
2013-02-18,9.665,9.665,9.586,9.586,9210,88287.06,,,,,
2013-02-19,9.586,9.746,9.586,9.746,24520,238971.92,,,,,
2013-02-20,9.904,9.904,9.665,9.825,25010,245723.25,,,,,
2013-02-21,9.825,10.464,9.825,10.464,52860,553127.04,,,,,
2013-02-22,10.464,10.464,9.746,10.464,10580,110709.12,,,,,
2013-02-25,10.464,10.543,10.224,10.224,2220,22697.28,,,,,
2013-02-26,9.825,10.305,9.825,9.825,45390,445956.75,,,,,
2013-02-27,9.825,10.224,9.505,10.224,29970,306413.28,,,,,
2013-02-28,9.904,10.305,9.904,10.305,2030,20919.15,,,,,
2013-03-01,10.224,10.224,10.065,10.065,530,5334.45,,,,,
2013-03-04,9.904,9.904,9.426,9.426,26580,250543.08,,,,,
2013-03-05,8.788,9.586,8.788,9.586,1050,10065.3,,,,,
2013-03-06,9.665,9.825,9.586,9.665,24330,235149.45,,,,,
2013-03-07,10.144,10.144,9.985,9.985,3610,36045.85,,,,,
2013-03-08,9.985,10.065,9.904,10.065,3240,32610.6,,,,,
2013-03-11,10.144,10.144,10.065,10.065,3200,32208.0,,,,,
2013-03-12,10.144,10.224,10.144,10.144,7320,74254.08,,,,,
2013-03-13,10.385,10.543,10.224,10.385,3950,41020.75,,,,,
2013-03-14,10.385,10.704,10.385,10.704,10950,117208.8,,,,,
2013-03-15,10.784,11.183,10.464,11.183,70,782.81,,,,,
2013-03-18,10.543,11.183,10.543,11.183,14560,162824.48,,,,,
2013-03-19,11.183,11.183,10.784,10.784,12220,131780.48,,,,,
2013-03-20,11.262,11.262,10.784,10.784,2470,26636.480000000003,,,,,
2013-03-21,10.784,11.343,10.784,11.183,140,1565.62,,,,,
2013-03-22,11.183,11.662,11.183,11.343,8920,101179.56,,,,,
2013-03-25,11.343,12.062,11.343,11.662,3140,36618.68,,,,,
2013-03-26,10.864,11.662,10.864,11.582,220,2548.04,,,,,
2013-03-27,11.582,12.3,11.582,11.982,1000,11982.0,,,,,
2013-03-28,12.461,12.461,12.142,12.142,210,2549.82,,,,,
2013-03-29,12.382,12.382,11.343,12.3,120,1476.0,,,,,
2013-04-01,11.982,12.142,11.982,12.142,30,364.26,,,,,
2013-04-02,12.78,12.78,12.621,12.621,130,1640.73,,,,,
2013-04-03,12.621,12.621,12.621,12.621,140,1766.94,,,,,
2013-04-04,12.621,12.621,11.982,11.982,15170,181766.94,,,,,
2013-04-05,11.582,11.582,11.582,11.582,20,231.64,,,,,
2013-04-08,12.22,12.22,12.22,12.22,10,122.2,,,,,
2013-04-09,11.903,11.903,11.422,11.903,1820,21663.46,,,,,
2013-04-10,11.104,11.582,11.104,11.582,22290,258162.78000000003,,,,,
2013-04-11,11.343,11.343,11.104,11.104,200,2220.8,,,,,
2013-04-12,10.385,11.183,10.385,11.183,1140,12748.62,,,,,
2013-04-15,11.183,11.183,11.183,11.183,80,894.64,,,,,
2013-04-16,10.464,10.464,10.464,10.464,40,418.56,,,,,
2013-04-17,11.183,11.183,9.825,9.825,990,9726.75,,,,,
2013-04-18,10.385,10.385,10.385,10.385,110,1142.35,,,,,
2013-04-22,10.784,11.104,10.624,11.104,13790,153124.16,,,,,
2013-04-23,11.183,11.822,11.183,11.822,20690,244597.18,,,,,
2013-04-24,12.621,12.621,12.621,12.621,17300,218343.3,,,,,
2013-04-25,12.621,13.5,12.461,13.5,42590,574965.0,,,,,
2013-04-26,14.297,14.297,12.78,13.5,10990,148365.0,,,,,
2013-05-02,13.421,14.376,13.421,14.218,29640,421421.52,,,,,
2013-05-03,14.059,14.059,13.26,13.5,13440,181440.0,,,,,
2013-05-06,13.5,14.218,13.02,13.979,3580,50044.82,,,,,
2013-05-07,13.979,14.376,13.899,14.218,2770,39383.86,,,,,
2013-05-08,15.017,15.176,14.937,15.176,1210,18362.96,,,,,
2013-05-09,14.376,14.376,14.138,14.138,520,7351.76,,,,,
2013-05-10,13.26,15.097,13.26,14.618,650,9501.7,,,,,
2013-05-13,14.937,15.017,14.376,15.017,3120,46853.04,,,,,
2013-05-14,15.496,15.496,15.176,15.176,650,9864.4,,,,,
2013-05-15,14.138,15.176,14.138,15.097,8200,123795.4,,,,,
2013-05-16,14.059,14.618,14.059,14.059,390,5483.009999999999,,,,,
2013-05-17,13.1,13.979,13.1,13.82,20510,283448.2,,,,,
2013-05-20,14.218,14.218,12.94,13.82,330,4560.6,,,,,
2013-05-21,12.859,14.297,12.859,14.297,4110,58760.670000000006,,,,,
2013-05-22,14.297,14.297,13.34,14.297,6330,90500.01,,,,,
2013-05-23,14.297,14.297,14.297,14.297,300,4289.1,,,,,
2013-05-24,13.421,15.176,13.421,15.176,20,303.52,,,,,
2013-05-27,14.618,14.777,14.538,14.777,220,3250.94,,,,,
2013-05-28,14.937,14.937,14.937,14.937,20,298.74,,,,,
2013-05-29,13.899,14.698,13.899,14.698,2300,33805.4,,,,,
2013-05-30,13.738,14.698,13.738,14.698,270,3968.46,,,,,
2013-05-31,14.376,15.655,14.376,14.777,3070,45365.39,,,,,
2013-06-03,13.899,14.937,13.899,14.937,3230,48246.51,,,,,
2013-06-04,14.937,14.937,14.937,14.937,0,0.0,,,,,
2013-06-05,14.937,14.937,14.937,14.937,0,0.0,,,,,
2013-06-06,13.979,14.618,13.979,14.618,1630,23827.34,,,,,
2013-06-07,14.618,14.618,14.618,14.618,0,0.0,,,,,
2013-06-10,15.496,15.496,14.376,14.376,550,7906.799999999999,,,,,
2013-06-11,14.376,14.777,14.376,14.777,50,738.8499999999999,,,,,
2013-06-12,14.698,15.576,14.698,15.416,1210,18653.36,,,,,
2013-06-13,14.376,15.097,14.376,14.376,1910,27458.16,,,,,
